French,English
partie,part
pensais,thought
aide,help
genre,kind
mois,month
laisser,let
car,because
mettre,to put
aucun,no
ville,city
chaque,each
arrivé,come
devrait,should
longtemps,long time
vont,will
pendant,while
place,square
compris,understood
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
donné,given
train,train
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
côté,side
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
point,point
suite,after
devant,in front of
vers,towards
chambre,bedroom
mis,placed
aimerais,would like to
cause,cause
enfin,finally
boulot,job
compte,account
loin,far
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
